user_idx,item_idx,rating
0,776,7.807971
0,2220,7.170063
0,1412,7.1677084
0,6329,7.1507883
0,1199,7.1315536
0,1436,7.062598
0,2978,7.0531445
0,1619,7.0026975
0,2595,6.9819994
0,1843,6.9631453
1,1330,9.118703
1,4598,7.9635
1,1552,7.5159163
1,967,7.3916826
1,7027,7.281937
1,2409,7.0888605
1,1060,7.0226164
1,10164,7.0189085
1,3782,7.012422
1,5537,6.954573
2,1157,8.462375
2,2324,8.065053
2,4680,7.7338605
2,2106,7.663764
2,677,7.4540973
2,2288,7.312802
2,5491,7.1833487
2,2727,7.181365
2,7111,7.0868773
2,676,7.058832
6,726,8.208655
6,2412,7.9460974
6,2364,7.865474
6,1305,7.8457193
6,11803,7.29951
6,1517,7.2177296
6,6364,6.963009
6,1912,6.8806944
6,1610,6.7521763
6,3041,6.7200637
9,1829,5.4070554
9,3369,5.3455586
9,1323,4.888351
9,5001,4.8136044
9,269,4.761155
9,665,4.7220325
9,814,4.717525
9,6485,4.626445
9,3355,4.615578
9,577,4.5730524
12,606,5.7785006
12,1660,5.5817485
12,2944,5.5707264
12,7681,5.436331
12,1519,5.248888
12,1521,5.125799
12,357,5.095724
12,112,4.9988575
12,5579,4.883276
12,7072,4.8088202
13,1605,7.5154467
13,7648,6.8440995
13,1795,6.797378
13,1309,6.773542
13,1884,6.7307005
13,2107,6.7149053
13,2790,6.6771817
13,3867,6.5835085
13,4370,6.4556
13,4722,6.3520236
15,641,7.669567
15,2206,7.321202
15,4571,7.3031225
15,5137,7.2472897
15,3269,7.1744375
15,2680,7.1720552
15,2633,7.0192833
15,3790,6.9633827
15,1850,6.9432187
15,1576,6.8120694
16,4229,3.2008812
16,1226,3.1885486
16,1246,3.0513332
16,1644,3.042521
16,807,2.9895067
16,1870,2.9189868
16,544,2.8236153
16,6341,2.8143759
16,5739,2.7632332
16,1304,2.7248452
17,26064,0.0
17,26054,0.0
17,26034,0.0
17,26024,0.0
17,26004,0.0
17,25994,0.0
17,25964,0.0
17,25944,0.0
17,25934,0.0
17,25914,0.0
18,1473,1.8127571
18,4044,1.7117307
18,1759,1.683528
18,3086,1.6598115
18,992,1.5736954
18,4534,1.5590178
18,11269,1.5579306
18,1005,1.5095032
18,1203,1.5083127
18,1152,1.4957901
21,2150,7.5267205
21,1044,7.41929
21,2368,6.810199
21,5503,6.719529
21,2778,6.6922865
21,2486,6.519587
21,1054,6.4714327
21,1164,6.391542
21,1217,6.3281918
21,1600,6.296504
22,458,8.21821
22,3993,7.8567557
22,2460,7.8496194
22,4233,7.3469377
22,2819,7.2818527
22,3047,6.9816732
22,2056,6.7609916
22,2909,6.7538905
22,4054,6.6937466
22,2443,6.6611786
24,1466,7.530844
24,1327,7.3168197
24,1954,7.3148317
24,836,7.033425
24,3678,6.9662976
24,2827,6.940352
24,5127,6.8444915
24,1315,6.7709866
24,2912,6.767507
24,1175,6.650284
25,1843,8.687173
25,2401,7.739395
25,761,7.6528397
25,1327,7.3232474
25,559,7.2737293
25,473,7.2227983
25,2313,7.20142
25,3641,7.002268
25,1838,6.9420295
25,520,6.8722806
29,6329,7.6752977
29,628,7.5026627
29,6308,7.446415
29,7564,7.380151
29,1638,7.30558
29,4698,7.2850237
29,2339,7.177619
29,2492,7.0392346
29,2580,7.018056
29,7683,7.0054054
30,3815,8.197468
30,2593,8.148726
30,2656,8.144413
30,959,8.114107
30,3315,7.9979863
30,640,7.773531
30,3739,7.448081
30,2271,7.2975397
30,1636,7.2935376
30,7733,7.292305
35,1053,8.504958
35,3476,7.6950884
35,3126,7.6685123
35,3352,7.666606
35,6726,7.632359
35,2005,7.630543
35,2432,7.1696854
35,2271,7.103861
35,1557,7.0902624
35,725,7.0520477
36,1676,5.590899
36,2018,5.30157
36,1217,5.0813828
36,2466,4.7126446
36,1464,4.704341
36,1287,4.676504
36,1707,4.6275268
36,4370,4.5687337
36,3452,4.5645084
36,2251,4.373707
37,4258,2.288682
37,3190,2.2122614
37,2017,2.0403056
37,15382,1.9840261
37,2515,1.9772602
37,732,1.8719999
37,1521,1.8657022
37,1366,1.8374104
37,638,1.7884321
37,820,1.7817664
38,2965,5.545255
38,877,5.238265
38,6329,5.227331
38,1203,5.185345
38,2306,5.1436286
38,1528,5.071478
38,5510,4.8884535
38,1727,4.8166556
38,1759,4.705896
38,1772,4.7022533
41,2214,5.5681195
41,2303,5.5280976
41,1578,5.4903045
41,2726,5.4697514
41,1489,5.3931236
41,9175,5.369396
41,5075,5.1595426
41,2488,5.0927744
41,1292,5.0620584
41,3232,5.05889
43,1129,6.7718754
43,3116,6.400387
43,1644,6.3979945
43,1871,5.8503323
43,3190,5.819418
43,1788,5.8137193
43,8434,5.475974
43,4857,5.4222593
43,1127,5.284186
43,2735,5.2469745
45,3691,13.628821
45,2036,13.593148
45,2820,13.341032
45,5137,13.108505
45,3269,13.070959
45,5149,12.998497
45,1413,12.57178
45,1094,12.547991
45,1602,12.404676
45,2656,12.296029
46,1941,8.222035
46,6702,7.754885
46,2694,7.5098944
46,8621,7.248651
46,1318,7.230417
46,3806,7.180814
46,6060,7.0792747
46,3946,7.0759487
46,481,7.0643926
46,2109,7.053694
47,4229,8.125922
47,2526,7.386706
47,1571,7.316079
47,1003,7.3047576
47,1605,7.260899
47,7813,7.1756024
47,6369,7.0469804
47,5248,6.857573
47,11451,6.715994
47,2561,6.640763
50,655,4.499351
50,3124,3.7766821
50,1607,3.759669
50,3041,3.6731648
50,2949,3.648179
50,2798,3.5625465
50,1952,3.5135396
50,2996,3.4499671
50,6659,3.4164603
50,408,3.3520632
52,3183,6.890244
52,1921,6.2605414
52,3347,6.176086
52,2818,6.031244
52,4705,5.872296
52,910,5.8583336
52,5062,5.631967
52,5045,5.6042175
52,3861,5.56368
52,5070,5.547443
61,2961,1.351235
61,819,1.2775614
61,6959,1.262316
61,5491,1.2622671
61,2523,1.2472019
61,1538,1.245996
61,2074,1.2371193
61,3561,1.2150937
61,1823,1.2147288
61,3145,1.2145894
62,3197,7.777243
62,1399,7.700358
62,4680,7.6940193
62,2368,7.3610454
62,2269,7.2970057
62,2324,7.230378
62,3336,7.1530848
62,1097,7.097551
62,1541,6.9369893
62,2535,6.908618
66,3687,8.262739
66,5045,8.186933
66,3245,8.037045
66,3183,7.652511
66,14671,7.1608067
66,5070,7.075175
66,1216,7.055943
66,3347,6.9917603
66,4895,6.9620714
66,1547,6.9483995
67,1164,6.076578
67,3619,5.039111
67,1165,4.9990034
67,7762,4.893351
67,2368,4.873947
67,2909,4.7652473
67,1814,4.7604704
67,1474,4.613337
67,2972,4.5599017
67,1399,4.5228767
70,1596,6.197867
70,1320,5.987918
70,1538,5.910492
70,2845,5.8611126
70,3166,5.8368063
70,3745,5.834715
70,2297,5.7684126
70,4543,5.762092
70,2614,5.6921005
70,2523,5.6704645
72,727,4.999097
72,1940,4.9605513
72,2208,4.94672
72,2135,4.6046844
72,2991,4.491141
72,1995,4.415844
72,2141,4.4085207
72,1292,4.3864527
72,1610,4.271535
72,3247,4.241333
73,3317,1.5140302
73,3455,1.501745
73,3414,1.48696
73,3630,1.4761206
73,6524,1.46763
73,1510,1.427483
73,4450,1.4242305
73,5447,1.3838706
73,9326,1.3761722
73,4990,1.358914
74,2158,11.384888
74,3619,10.265776
74,1215,9.980659
74,1060,9.766604
74,3820,9.720139
74,2300,9.624302
74,1541,9.610048
74,967,9.547652
74,2689,9.51335
74,1097,9.387591
79,6248,7.5569863
79,2694,7.5397205
79,1809,7.376121
79,1529,7.310458
79,3143,7.2994194
79,2773,6.920012
79,5491,6.7695994
79,6352,6.735458
79,2508,6.6245494
79,668,6.5617466
80,8953,4.6252594
80,395,3.999287
80,553,3.677023
80,1983,3.6095943
80,2390,3.6008852
80,3414,3.5419383
80,1389,3.51075
80,1027,3.4452794
80,3790,3.403094
80,2680,3.3918319
82,1532,8.291202
82,4538,8.217631
82,12118,8.152079
82,1809,7.9007816
82,2303,7.797553
82,1224,7.7205753
82,3716,7.318443
82,1761,7.273843
82,408,7.247792
82,5854,7.141933
86,2605,9.9762535
86,2466,9.480255
86,4740,9.332686
86,2840,9.245465
86,5408,9.148637
86,2368,9.0132885
86,3145,8.884034
86,3336,8.779269
86,568,8.677342
86,1970,8.656227
88,1257,4.999214
88,2452,4.419608
88,1775,4.2075458
88,2631,4.16196
88,1050,4.069827
88,1415,4.063877
88,654,4.0411925
88,5267,4.0322
88,1608,3.9774222
88,1331,3.961081
89,3616,2.5830812
89,1639,2.5101895
89,5122,2.4933317
89,2207,2.4526968
89,2341,2.4327805
89,8156,2.3526883
89,3779,2.3401887
89,2670,2.3385665
89,5685,2.3275537
89,1579,2.2170095
91,2368,9.7276125
91,1164,9.083006
91,922,8.8185425
91,9556,8.730348
91,950,8.7073555
91,1215,8.704477
91,1685,8.698947
91,5173,8.6138525
91,2964,8.501096
91,12328,8.398258
93,2344,6.7800922
93,6048,6.029792
93,620,5.484543
93,2436,5.368231
93,1386,5.3308477
93,1961,5.2543416
93,761,5.2154465
93,8517,5.1307344
93,3800,5.115026
93,3916,5.0997286
95,1201,1.4686289
95,1097,1.3660307
95,1221,1.332359
95,1402,1.3280854
95,743,1.288262
95,954,1.2342448
95,842,1.218713
95,877,1.2116703
95,1600,1.1962734
95,2001,1.1819141
98,1330,6.902246
98,3316,6.7931814
98,2658,6.680271
98,819,6.366897
98,2106,6.30115
98,941,6.2159953
98,2283,6.1778483
98,5418,6.1332593
98,1474,6.088191
98,3867,6.0795283
99,1602,18.396397
99,3691,16.268353
99,1808,15.54966
99,1705,15.31621
99,3159,15.313886
99,5162,14.299773
99,1850,14.210332
99,4729,14.090788
99,11803,14.050571
99,3588,14.030358
104,2095,8.726082
104,709,8.1941185
104,1170,8.042619
104,743,7.9999704
104,2457,7.9467607
104,1847,7.7514005
104,1856,7.6152735
104,3910,7.46771
104,1971,7.36607
104,2660,7.333781
107,3183,8.159299
107,2326,7.967508
107,5045,7.5303392
107,2374,7.4666834
107,1148,7.30185
107,910,7.218531
107,1921,7.1437125
107,4363,7.0797987
107,1216,6.8825407
107,1413,6.873501
111,1639,8.215231
111,9247,8.062596
111,5537,8.06182
111,1257,8.011079
111,1463,7.936762
111,2917,7.8886347
111,5447,7.8253975
111,1101,7.647789
111,2670,7.537253
111,2283,7.480157
112,3079,8.6814375
112,1546,7.621055
112,1226,7.5831757
112,3793,7.5304084
112,3259,7.3080034
112,774,7.2253327
112,9059,7.141576
112,1686,7.049663
112,1291,6.9523754
112,3268,6.8313456
113,3269,6.7561526
113,1847,6.1748853
113,1377,5.538878
113,2109,5.484213
113,1431,5.47496
113,4901,5.3592863
113,1207,5.3181114
113,3747,5.2146044
113,5137,5.1101284
113,1413,5.096788
118,2801,7.828971
118,3461,7.294444
118,2312,6.969513
118,3961,6.49298
118,3040,6.1713696
118,4766,6.085949
118,3342,6.0513744
118,2276,6.00343
118,1090,5.993979
118,3207,5.970315
121,1354,7.959128
121,1679,7.2617188
121,1605,7.2347445
121,447,7.1867995
121,3285,7.134687
121,3185,7.1234097
121,1035,7.064366
121,4229,7.0375433
121,1961,6.9713326
121,3717,6.9353237
122,774,5.1294737
122,1166,4.807857
122,2250,4.7737546
122,4439,4.7626257
122,1568,4.688759
122,882,4.6699853
122,1961,4.5318947
122,1992,4.3205953
122,1168,4.286302
122,5883,4.245736
124,1263,10.761126
124,2173,9.791542
124,447,9.662205
124,2333,9.527258
124,3465,9.351816
124,2912,9.076009
124,7626,8.967184
124,410,8.829811
124,2452,8.79315
124,9041,8.789816
125,8863,6.3686275
125,4519,5.9913373
125,992,5.849272
125,1093,5.696715
125,4534,5.6367455
125,3747,5.624652
125,1157,5.5523095
125,2958,5.344152
125,4734,5.273398
125,10683,5.2492666
127,2246,8.415996
127,7026,8.163603
127,803,7.785995
127,1799,7.7720523
127,4990,7.6877065
127,1077,7.4782114
127,2654,7.4328575
127,1415,7.4054327
127,4994,7.404674
127,1966,7.385332
128,2158,6.1417785
128,5739,5.865953
128,1226,5.853576
128,3980,5.7175527
128,3802,5.5933576
128,5084,5.591121
128,1140,5.570706
128,3634,5.4415517
128,6795,5.3582373
128,3987,5.3490744
131,1095,11.224437
131,2546,10.61672
131,1307,10.3293915
131,914,10.182731
131,2717,9.933958
131,2233,9.925391
131,2561,9.881146
131,2923,9.838575
131,7111,9.790033
131,4755,9.60145
132,1967,6.4128566
132,1568,6.051552
132,2095,6.0501337
132,8953,5.8305798
132,338,5.7724814
132,822,5.744485
132,1977,5.725921
132,6897,5.7055326
132,2309,5.6879153
132,5610,5.639467
134,8086,7.6269956
134,1354,7.620246
134,6602,7.280429
134,5386,7.1877575
134,2609,6.911119
134,3210,6.892703
134,2936,6.765428
134,4853,6.7647433
134,5326,6.7547617
134,3946,6.5815907
138,491,7.646158
138,829,7.2492285
138,2133,7.185552
138,1198,7.1350255
138,3845,6.546196
138,2035,6.502782
138,1130,6.4740667
138,779,6.4646873
138,3352,6.464383
138,2602,6.408674
140,5839,6.268001
140,3558,5.723316
140,3660,5.354515
140,820,5.34444
140,1174,5.262329
140,1632,5.210385
140,1442,4.9987574
140,1373,4.96587
140,2515,4.96502
140,1619,4.9490294
143,1207,4.999465
143,1243,3.6521492
143,3814,3.6352289
143,1913,3.5095072
143,5160,3.4476135
143,2915,3.3954408
143,396,3.306073
143,3693,3.3044524
143,3876,3.2822804
143,1561,3.2641153
144,2486,7.1753025
144,2909,7.153952
144,1940,7.010354
144,1621,6.9792414
144,9014,6.938638
144,1326,6.924963
144,1164,6.797478
144,1039,6.6580677
144,1070,6.623311
144,5773,6.555253
146,1519,4.1559415
146,158,3.9991572
146,493,3.9171677
146,1809,3.8394456
146,1388,3.8131082
146,1489,3.7532673
146,3861,3.7475955
146,2944,3.6700256
146,4286,3.646319
146,5491,3.6173353
149,6762,7.4759393
149,1337,7.3832984
149,3128,7.247589
149,4705,7.2241974
149,2515,7.1879425
149,3660,6.9276714
149,4800,6.757655
149,3210,6.739594
149,3310,6.718244
149,7648,6.6919727
152,1805,7.711097
152,1638,7.6630316
152,9225,7.5095816
152,628,7.491494
152,2492,7.391816
152,2936,7.389469
152,1991,7.2212305
152,8066,7.0959654
152,6602,7.0938187
152,2747,7.0684814
153,523,5.340328
153,1044,5.29781
153,1737,5.246251
153,726,5.2135043
153,3478,5.050165
153,1321,5.0273666
153,2605,5.0144105
153,2044,4.960132
153,10164,4.9432654
153,1294,4.9272194
154,1157,5.8751006
154,4766,5.6533227
154,2304,5.142514
154,8953,5.0220637
154,258,4.9988213
154,2295,4.987455
154,950,4.9233007
154,2276,4.885699
154,1427,4.8244553
154,1508,4.8231297
156,761,7.555951
156,2787,7.3106575
156,3704,6.843561
156,7334,6.78984
156,2103,6.78174
156,2860,6.740668
156,6549,6.707563
156,14517,6.690467
156,951,6.683219
156,7639,6.65446
157,2629,7.402772
157,8150,7.306669
157,4561,7.230121
157,2038,7.13764
157,2161,7.1324596
157,2284,7.100453
157,1116,6.9491363
157,1991,6.8924556
157,3352,6.744856
157,1766,6.738185
160,2276,4.7751036
160,1304,4.6203284
160,2304,4.55486
160,3987,4.511516
160,4766,4.494455
160,2031,4.4710536
160,1147,4.4093676
160,2314,4.3367457
160,929,4.329428
160,5610,4.311616
165,1413,10.282951
165,9278,9.770821
165,2962,9.75847
165,3693,9.387333
165,2801,9.360021
165,1731,9.323063
165,649,9.2188015
165,385,9.076114
165,4042,9.054834
165,2260,9.034879
167,2686,10.382233
167,1764,9.626933
167,7445,9.176453
167,2095,9.019465
167,2764,8.922915
167,2491,8.771272
167,2599,8.740818
167,3295,8.710111
167,2680,8.675872
167,3806,8.478274
172,2465,5.088717
172,345,4.9944596
172,2561,4.7931843
172,4755,4.739809
172,6327,4.6797533
172,4784,4.5787263
172,1651,4.571857
172,3056,4.556705
172,7334,4.4888587
172,4148,4.4239926
174,640,7.8691645
